identifier,name,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_crichq,key_cricinfo,key_cricinfo_2,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_opta,key_opta_2,key_pulse,key_pulse_2
f7cb7c3a,Abul Farhad,Abul Farhad,,,,,,1230636,,,,,,,,
5c756df3,Abul Hasan,Abul Hasan,,,,,,373439,,,366422,,,,493,
16f4cc7e,A Bulow,A Bulow,,,,,,417263,,,,,,,,
1387be20,A Burdett,A Burdett,,,,,,490953,,,,,,,,
bc82e1b2,AB Williams,AB Williams,,,,,,53228,,,1562,,,,,
a2421394,AC Agar,AC Agar,,,5358,,,505120,,,1061470,,,,935,
4b788e61,A Campbell,A Campbell,,,,,,1007861,,,,,,,,
ffd5fcd8,A Canning,A Canning,,,,,,1229015,,,,,,,,
910dd54e,A Capsey,A Capsey,,,,,,1187120,,,,,,,,
6fe2c1c0,A Carter,A Carter,,,,,,297595,,,,,,,,
5e3f2522,A Cassim,A Cassim,,,,,,1013209,,,,,,,,
ed282cc2,A Cawley,A Cawley,,,,,,1112205,,,,,,,,
8a6c2263,AC Bannerman,AC Bannerman,,,,,,4089,,,28,,,,,
0d352971,ACB Langton,ACB Langton,,,,,,46132,,,657,,,,,
1efb8a28,AC Blizzard,AC Blizzard,,,,,,4498,,,,,,,205,
d8e79af0,AC Botha,AC Botha,,,,,,44102,,,,,,,2605,
2528611f,AC Boyce,AC Boyce,,,,,,380928,,,,,,,,
95569cde,AC Brodin,AC Brodin,,,,,,1268907,,,,,,,,
ad75edc3,AC Cummins,AC Cummins,,,,,,51488,,,2075,,,,2398,
1c7fa06c,AC Dale,AC Dale,,,,,,4890,,,5559,,,,,
62decd8e,AC Dawson,AC Dawson,,,,,,44682,,,3964,,,,,
f86ce673,AC Douglas,AC Douglas,,,,,,679551,,,,,,,,
e9a870ed,AC Evans,AC Evans,,,,,,399259,,,,,,,1185,
7f74b21d,ACF Stokes,ACF Stokes,,,,,,1036525,,,1515028,,,,,
916508da,ACF Wyatt,ACF Wyatt,,,,,,395862,,,,,,,,
2b6e6dec,AC Gilchrist,AC Gilchrist,,,,,,5390,,,4170,,,,65,
78fa5f6d,A Chandel,A Chandel,,,,,,1341621,,,,,,,,
99b202b3,A Chandila,A Chandila,,,,,,27783,,,,,,,273,
ef14c0ec,AC Harris,AC Harris,,,,,,516692,,,,,,,,
c144a09d,A Chatterjee,A Chatterjee,,,,,,27818,,,,,,,,
f52fbc63,A Chaudary,A Chaudary,,,,,,278086,,,,,,,,
ffead9c2,A Chaudhary,A Chaudhary,,,,,,307813,,,,,,,,
e62b4c77,A Chetty,A Chetty,,,,,,294853,,,,,,,,
a0d07fd6,A Chilia,A Chilia,,,,,,1093531,,,,,,,,
95f2b15b,Achit Shigwan,Achit Shigwan,eCLKiy0IObGQOeJiIiAXVUJihJJi1cz,,,,,1131623,,,,,,,,
e249fdaa,A Chopra,A Chopra,,,,,,27639,,,7749,,,,,
57a7b064,A Chopra,Anjum Chopra,,,,,,53910,,,8475,,,,,
18e6906e,A Choudhary,A Choudhary,ViXyQh1zbiJJJUIeLOAKeiGiIicOCJ0,,,,,527299,,,,,,,1111,
55a6eb86,AC Hudson,AC Hudson,,,,,,45458,,,2011,,,,,
b9964982,ACI Lock,ACI Lock,,,,,,55560,,,2223,,,,,
2455b2d7,A Ciric,A Ciric,,,,,,1331986,,,,,,,,
ac56b5a7,AC Jayangani,AC Jayangani,,,,,,318853,,,303894,,,,600,
7673c908,AC Kerr,AC Kerr,,,11091,,,803971,,,1753217,,,,3756,
9417b5b6,A Clarke,A Clarke,,,,,,1230753,,,,,,,,
8f9c5014,AC Lenham,AC Lenham,,,,,,1260072,,,,,,,,
a3d329d7,ACL Richards,ACL Richards,,,,,,52918,,,,,,,,
d58ef4b7,AC Mace-Cochrane,AC Mace-Cochrane,,,,,,701739,,,1580567,,,,,
7cef11e4,AC MacLaren,AC MacLaren,,,,,,16871,,,177,,,,,
